,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Curtobacterium flaccumfaciens,25,30,10,0,20,30,15,0,10,5,10,15,10,10,25,25,0,0,30,10,10,10,25,5,10,20,15,25,10,15,15,10,10,5,10,0,54,20,20
Streptomyces sp. ST1015,25,25,0,20,20,30,15,0,5,25,15,0,0,10,30,10,0,34,0,34,25,20,30,5,10,20,20,25,5,10,20,5,5,10,0,20,20,15,25
Phreatobacter sp. NMCR1094,0,15,15,5,0,10,0,49,15,0,10,0,39,10,10,5,10,0,25,10,34,20,25,15,10,15,10,20,15,15,20,25,25,10,0,0,5,30,25
Acuticoccus sp. I52.16.1,0,10,10,0,0,25,34,25,20,20,5,0,34,10,25,15,25,10,25,10,10,5,10,5,10,15,15,15,5,0,10,20,25,15,5,10,5,39,20
Caldinitratiruptor microaerophilus,0,30,15,5,54,15,0,15,15,0,15,5,5,5,10,5,10,0,0,39,10,20,15,10,5,30,10,25,0,20,15,10,25,5,0,30,25,44,25
Saccharopolyspora gregorii,25,25,10,0,34,15,0,0,25,15,15,5,20,10,15,15,5,44,25,25,25,0,25,0,10,10,10,20,10,10,20,10,15,10,5,5,15,15,10
Methyloligella sp. GL2,0,15,15,0,0,69,0,64,5,5,69,0,20,15,10,5,5,0,15,15,0,0,20,0,15,5,5,5,15,20,25,10,15,10,5,0,0,15,39
Mycolicibacterium fortuitum,0,25,49,0,34,15,0,15,10,10,5,0,0,15,5,20,10,25,10,5,0,5,5,0,10,5,10,30,20,5,10,15,10,0,5,15,0,25,5
Streptomyces seoulensis,0,25,10,0,20,15,0,10,20,15,5,10,5,5,30,15,5,25,10,15,25,20,20,5,15,10,25,15,5,15,34,0,15,15,0,10,34,39,25
Kineococcus radiotolerans,0,20,10,5,69,25,15,10,15,30,5,15,10,10,34,15,10,54,0,10,10,10,15,5,0,15,10,15,5,5,5,5,5,5,15,20,20,25,5
Ralstonia insidiosa,0,10,10,5,0,10,0,0,44,5,44,0,20,20,10,10,15,0,10,15,0,49,0,34,25,10,5,5,5,15,10,20,30,5,15,0,5,10,39
Mycolicibacterium poriferae,0,20,69,0,20,20,34,10,0,15,5,10,5,10,10,10,0,10,0,15,0,10,15,5,5,5,5,25,5,5,10,10,5,5,0,5,20,10,5
Mycobacterium grossiae,25,25,49,0,20,5,0,15,0,5,5,5,5,5,20,15,15,54,10,10,0,5,20,10,5,10,5,34,10,0,15,5,5,15,10,5,5,20,5
Methylobacterium durans,0,15,30,0,20,10,0,34,39,0,25,0,10,10,25,10,15,0,10,15,10,10,20,15,10,15,15,10,20,25,15,10,20,0,5,5,0,10,25
Rhodopseudomonas sp. SK50-23,0,5,44,0,0,0,0,10,10,5,10,0,20,20,10,10,10,0,10,30,10,0,10,5,15,15,15,10,20,20,15,49,30,10,0,0,15,10,30
Pseudomonas carboxydohydrogena,0,5,25,10,0,10,0,10,15,0,15,5,15,10,5,10,5,0,0,15,0,20,25,10,10,10,20,10,10,20,49,39,15,10,5,0,10,20,25
Neorhizobium galegae,0,10,15,10,20,15,0,25,0,5,10,0,0,5,10,10,10,0,15,10,10,25,15,15,20,20,10,25,10,25,20,20,30,20,0,10,5,25,25
Mycolicibacterium baixiangningiae,25,25,74,0,0,15,15,10,5,10,5,0,0,5,20,5,5,10,0,5,0,0,15,10,5,10,15,15,5,5,10,0,10,20,5,15,10,20,5
Mycobacterium branderi,0,15,44,0,20,5,0,10,10,5,5,5,0,5,5,10,5,0,10,0,25,5,15,0,5,5,15,84,5,15,10,10,5,10,0,25,10,25,10
Rugamonas sp. DEMB1,0,0,10,5,20,15,0,64,25,0,20,5,5,59,15,15,34,20,15,15,0,0,5,0,15,5,10,15,0,10,15,10,25,15,15,5,15,5,25
Allosphingosinicella indica,0,30,10,5,0,34,15,10,5,34,15,25,10,15,5,10,79,0,25,15,0,0,15,15,20,10,10,15,5,0,25,5,0,0,30,5,10,5,15
Dyella sp. GSA-30,0,5,0,0,0,0,0,0,10,0,15,0,5,25,0,5,5,0,15,10,10,0,5,0,30,10,5,10,5,10,10,34,25,10,10,0,0,10,15
Mycobacterium dioxanotrophicus,0,25,49,5,0,5,0,0,0,5,15,5,0,15,10,10,10,25,0,5,0,0,10,5,5,10,15,34,15,15,15,10,10,20,5,0,10,20,10
Aeromicrobium yanjiei,0,10,10,0,34,25,0,10,10,20,20,30,5,15,30,10,5,25,25,15,10,5,15,15,5,5,15,15,10,15,30,5,10,15,10,0,39,10,20
Streptomyces griseochromogenes,25,30,0,5,0,25,0,10,15,5,20,5,0,5,15,15,0,20,15,15,10,5,20,10,25,25,25,15,5,20,20,15,15,15,5,20,25,30,15
Streptomyces sp. NHF165,0,25,5,5,0,34,0,25,10,15,10,10,5,5,25,10,0,25,10,10,0,10,25,10,20,30,25,20,15,5,15,10,15,15,5,10,25,39,30
Mycobacterium senriense,0,10,49,5,0,10,0,10,5,10,5,0,0,5,5,10,0,10,0,5,34,5,5,5,5,5,15,153,25,5,10,5,5,5,0,15,15,10,5
Aquincola tertiaricarbonis,0,30,10,10,20,5,0,25,10,10,5,5,5,39,25,10,74,10,30,10,0,10,15,5,15,15,5,10,5,15,15,5,15,5,10,10,0,15,25
Elioraea tepida,0,5,10,5,34,15,0,15,10,0,10,5,5,15,25,10,25,10,10,15,10,5,20,10,10,10,10,25,25,20,25,15,15,15,5,0,10,10,30
Labrys sp. KNU-23,0,5,5,0,20,15,0,15,20,5,15,0,15,5,15,5,15,10,10,15,0,5,15,5,30,10,15,10,10,20,20,34,44,10,0,5,10,15,30
Luteibacter pinisoli,0,10,10,0,20,5,0,10,5,0,0,5,0,241,5,5,5,10,10,0,0,0,5,0,10,15,5,10,0,10,15,5,15,5,15,0,10,10,5
Ornithinimicrobium avium,0,44,15,10,20,25,15,15,0,34,5,10,5,5,20,15,5,34,25,15,0,5,25,15,5,15,15,15,5,5,10,15,10,10,0,10,34,20,5
Micromonospora siamensis,25,34,10,5,20,34,15,10,5,25,5,10,10,5,20,30,15,20,10,10,10,10,15,10,10,15,20,20,5,10,20,15,5,10,0,0,10,25,10
Streptomyces sp. LX-29,25,25,10,0,20,20,34,0,15,15,20,5,5,5,25,10,0,20,15,10,0,20,20,5,15,25,15,25,20,5,25,15,15,0,0,0,15,20,15
Rubrobacter radiotolerans,44,20,15,5,34,49,0,10,30,10,10,0,25,5,30,15,15,34,54,10,0,10,10,5,15,5,0,5,0,0,0,15,10,20,5,0,5,10,15
Mycolicibacterium aurum,0,10,49,0,20,5,15,10,0,15,0,0,10,10,10,15,10,0,10,5,10,5,10,5,5,5,5,30,10,5,5,5,5,10,0,15,10,20,0
Mycolicibacterium rufum,25,10,54,0,0,15,0,0,10,15,10,5,0,5,15,15,0,10,0,5,0,10,5,0,0,10,10,30,20,20,10,15,15,5,0,15,10,25,10
Streptomyces atratus,25,34,5,5,34,5,34,15,10,0,0,5,5,10,10,20,0,44,15,5,0,5,15,5,10,25,10,25,0,15,15,15,15,10,0,30,20,25,10
Caldimonas thermodepolymerans,0,15,10,20,20,0,0,49,10,10,5,10,10,10,25,5,49,20,0,15,0,20,25,10,15,15,10,10,5,5,5,10,10,10,20,10,5,5,25
Vulgatibacter incomptus,0,10,20,5,0,15,0,15,20,0,5,5,5,10,15,25,15,0,0,44,10,34,20,20,5,10,10,10,5,20,20,10,25,15,0,25,15,25,34
Mycolicibacterium parafortuitum,0,10,49,0,0,15,34,10,5,15,15,0,10,10,5,10,0,20,10,10,0,10,15,5,0,5,15,30,10,0,5,5,10,10,0,10,5,20,5
Streptomyces olivoreticuli,0,30,0,0,34,10,34,0,5,25,15,0,0,5,10,15,5,34,25,15,0,5,25,0,15,30,10,20,5,5,25,15,15,10,0,20,20,25,15
Streptomyces sp. HUAS 13-4,25,15,10,0,34,30,15,0,5,20,20,5,15,5,25,15,15,20,15,15,0,5,30,0,20,25,10,25,5,5,25,5,10,5,5,10,20,20,5
Streptomyces asoensis,25,25,5,0,89,5,34,0,15,5,20,10,10,10,20,15,10,25,10,5,0,10,25,5,15,15,10,20,10,5,15,10,10,5,0,5,15,15,10
Jatrophihabitans telluris,0,25,10,5,34,10,0,0,5,10,20,15,10,10,15,34,5,10,39,25,10,0,20,0,10,10,15,20,10,10,15,15,15,10,15,5,20,25,25
Stackebrandtia nassauensis,0,25,10,5,20,15,34,0,20,5,15,0,0,10,15,15,5,64,25,15,0,10,25,5,5,15,20,20,0,10,10,5,10,15,5,15,25,25,20
Caulobacter mirabilis,0,10,10,5,0,15,0,10,20,20,15,0,5,15,20,10,15,0,25,25,44,5,20,5,15,10,5,10,0,15,64,5,15,5,0,10,5,15,10
Luteipulveratus mongoliensis,25,30,5,5,20,39,0,0,10,20,10,25,10,10,15,10,10,34,25,10,10,20,25,5,10,5,10,10,5,10,15,10,10,10,0,5,34,20,5
Massilia forsythiae,0,0,5,0,0,10,0,0,20,15,15,5,5,98,20,10,30,0,10,10,10,0,25,5,20,5,10,5,5,15,5,5,20,0,103,5,10,5,5
Microlunatus phosphovorus,0,25,15,0,54,34,0,10,34,5,5,15,20,5,44,20,0,34,10,5,0,0,25,5,5,20,5,10,5,15,15,20,10,0,0,5,15,10,10
Sphingosinicella sp. BN140058,0,44,10,5,0,30,0,0,15,44,15,15,0,20,10,15,44,10,0,15,0,25,10,5,25,5,0,10,10,15,10,10,15,5,20,5,5,10,15
Prauserella marina,0,10,15,0,20,30,15,10,15,10,0,0,0,10,10,25,5,10,15,15,0,20,25,20,5,25,15,25,5,10,15,15,15,25,0,10,20,44,25
Streptomyces sp. SAT1,0,20,5,0,54,30,34,0,15,5,5,5,10,5,25,10,15,10,0,15,10,20,0,5,15,20,25,20,0,15,20,5,10,10,5,10,10,34,15
Nakamurella sp. PAMC28650,0,15,10,10,34,5,0,39,20,10,0,5,10,10,20,10,5,10,15,15,0,10,25,5,10,20,10,34,5,15,15,15,25,25,5,0,5,34,10
Variovorax sp. RA8,0,10,5,5,34,5,15,10,20,10,15,5,10,5,30,10,69,25,15,5,0,20,20,20,15,15,5,10,0,15,10,15,5,5,20,0,15,5,20
Azospirillum thermophilum,0,15,5,0,0,5,34,34,10,0,10,10,0,10,10,15,5,10,0,10,0,10,34,15,10,0,20,25,34,20,15,25,30,5,5,10,10,15,20
Methylocella tundrae,0,5,20,0,20,10,15,25,20,0,25,0,5,10,10,5,0,10,10,15,25,0,5,5,15,0,10,15,25,20,34,25,20,20,5,0,10,5,30
Verrucomicrobium sp. GAS474,0,10,10,15,20,5,0,34,44,0,30,5,5,15,25,10,10,0,15,5,0,10,15,20,10,10,10,5,5,10,15,5,10,5,5,10,5,20,34
Streptomyces sp. Z423-1,0,25,10,10,34,25,49,39,10,15,5,5,0,0,30,10,5,25,25,5,0,0,25,5,10,10,20,20,10,5,20,10,5,0,0,10,25,20,5
Sphingomonas cannabina,25,25,5,5,0,30,0,0,10,39,15,25,5,10,10,20,39,20,25,5,0,5,10,5,15,5,5,15,0,15,10,5,10,5,49,5,5,10,5
Microvirga sp. R24,0,5,10,5,0,30,0,39,49,0,30,0,0,5,15,10,10,20,0,15,25,5,0,0,10,5,10,10,10,20,30,15,20,5,5,5,5,30,30
Acidibrevibacterium fodinaquatile,0,5,20,0,0,10,0,49,10,5,5,0,5,10,10,5,0,0,10,25,0,0,20,5,30,10,20,39,34,20,54,15,30,20,0,0,5,5,20
Nocardia farcinica,0,20,10,5,34,39,15,10,10,15,10,10,5,10,15,10,5,25,0,10,0,20,30,5,10,15,5,20,5,5,15,10,15,10,5,0,20,39,20
Streptomonospora nanhaiensis,0,20,10,5,0,20,15,10,0,10,20,10,25,10,15,15,10,34,15,15,10,0,5,15,10,25,15,25,0,10,25,15,15,30,0,10,15,25,10
Xanthomonas campestris,0,15,20,0,20,10,0,25,15,10,25,0,20,15,10,10,5,0,15,20,0,5,10,5,10,25,5,15,10,15,15,15,25,5,25,10,5,10,20
Mycolicibacterium monacense,0,25,74,5,0,15,0,0,10,15,0,0,5,10,20,20,0,10,10,10,0,5,5,10,5,15,15,30,10,5,10,0,10,0,0,10,10,15,5
Mycolicibacterium doricum,0,10,54,20,20,20,0,39,20,15,10,0,0,5,15,10,10,10,0,5,0,5,30,5,10,5,15,20,5,10,0,5,5,15,0,10,5,25,5
Bacillus sp. BD59S,0,5,10,30,34,0,34,15,15,5,10,15,10,5,5,5,10,0,10,10,0,20,5,25,20,15,10,10,34,5,0,15,10,25,10,59,25,0,0
Tsukamurella tyrosinosolvens,0,30,10,10,20,44,49,10,15,10,20,5,15,10,15,20,15,20,10,15,0,5,15,5,5,10,10,15,10,5,15,15,10,0,0,5,10,25,5
Rhodococcus sp. 75,0,39,0,0,20,30,0,10,5,20,0,10,0,5,25,15,25,0,15,15,10,0,25,15,10,15,25,20,5,5,25,5,5,20,10,5,15,44,15
Amycolatopsis sp. FU40,0,34,10,5,0,15,15,10,10,10,0,15,0,5,20,15,10,34,15,5,0,10,15,5,10,10,20,20,10,5,20,10,30,5,0,20,5,54,15
Streptomyces sp. GS7,25,25,10,0,20,34,34,0,15,10,5,0,0,5,25,10,0,34,10,5,0,10,30,10,15,15,20,25,10,10,15,10,10,5,5,10,10,15,10
Mycobacterium saskatchewanense,25,0,34,0,34,10,0,34,15,0,0,5,15,5,10,10,0,10,0,15,0,0,15,0,5,10,15,49,15,10,25,5,5,10,0,15,10,30,15
Nitrospirillum amazonense,0,10,0,0,34,5,0,15,10,0,5,5,0,5,15,5,5,0,10,10,10,10,25,10,20,10,15,20,39,15,34,20,25,15,5,0,10,15,34
Paraburkholderia dioscoreae,0,10,0,0,0,0,0,15,0,0,0,0,5,5,5,5,0,0,10,10,0,0,5,0,15,10,5,5,10,5,5,0,5,0,0,0,0,5,5
Tsukamurella paurometabola,0,25,10,5,34,30,15,15,10,5,10,10,0,10,15,20,0,25,0,15,0,10,20,20,10,20,10,10,10,5,20,15,10,10,0,15,10,30,20
Streptomyces sp. WZ-12,0,25,5,0,34,25,15,10,10,30,10,5,0,10,15,5,0,34,10,5,10,0,25,20,15,10,25,25,10,5,5,5,10,10,5,20,20,25,10
Mesorhizobium sp. AR10,0,10,30,0,20,5,0,39,0,10,30,5,0,5,5,10,10,20,10,10,0,25,25,0,0,5,5,10,10,5,15,10,15,15,5,0,10,5,15
Kaustia mangrovi,0,0,5,10,20,5,0,25,15,0,10,5,0,10,5,5,5,0,30,20,10,5,25,20,15,15,10,15,20,5,39,30,25,0,0,5,5,5,30
Nocardioides daphniae,0,25,10,5,20,30,15,10,0,34,5,89,15,39,34,30,0,0,15,15,0,0,5,5,0,5,5,10,5,15,5,0,5,5,15,5,15,20,5
Pseudomonas chlororaphis,0,5,15,0,34,15,0,15,10,20,15,0,0,10,15,10,10,10,0,10,0,20,30,5,39,20,20,20,39,10,5,10,15,15,0,10,15,5,15
Prescottella equi,0,30,15,5,20,20,0,10,30,15,0,0,5,15,25,10,15,34,30,5,0,5,10,10,5,10,15,15,5,15,10,5,10,10,0,10,30,20,20
Saccharopolyspora spinosa,44,15,0,0,20,25,15,0,10,15,5,10,0,5,10,0,5,98,0,10,0,10,25,5,5,20,10,10,15,15,25,5,10,10,0,5,20,15,5
Streptomyces rimosus,0,20,10,5,0,25,0,0,10,15,15,15,5,5,10,20,5,20,15,10,0,0,25,5,15,10,15,30,5,15,15,15,15,20,0,25,20,44,15
Streptomyces sp. YIM 121038,0,34,10,5,34,15,34,0,5,5,5,5,5,10,30,10,0,34,25,15,0,0,30,5,5,15,15,15,10,0,15,15,10,5,5,15,20,39,5
Streptomyces sp. S465,0,20,10,5,20,15,0,0,10,15,15,5,0,5,20,20,15,10,25,5,0,10,25,15,20,20,15,30,5,5,15,10,15,5,5,25,15,39,15
Nisaea acidiphila,0,5,15,10,34,15,0,15,0,10,5,0,20,5,5,15,25,0,15,15,10,10,15,5,10,5,15,20,25,20,30,15,30,15,0,0,5,5,15
Rhizorhabdus wittichii,0,5,5,15,20,30,15,0,10,20,10,10,10,10,15,20,25,10,25,15,0,10,5,15,15,10,10,20,5,5,20,10,5,5,20,0,10,10,10
Mycobacterium canettii,0,5,54,5,20,0,0,49,10,0,10,0,15,10,15,5,5,0,25,25,25,20,10,0,5,10,0,25,5,5,10,10,5,5,0,5,0,34,10
Indioceanicola profundi,0,20,15,5,34,25,15,25,10,5,10,10,5,5,10,5,10,0,0,30,10,10,5,10,20,10,15,15,20,20,15,20,15,10,0,5,5,5,15
Bradyrhizobium sp. 187,0,5,49,0,0,0,0,10,10,0,30,0,5,44,0,5,0,0,15,5,25,0,10,5,10,5,5,5,5,5,5,5,10,10,0,0,0,5,0
Anaeromyxobacter dehalogenans,0,20,5,10,0,20,0,15,20,5,25,0,10,5,20,15,15,20,25,30,0,10,10,20,5,10,10,10,20,5,15,10,20,0,0,15,39,15,25
Occultella kanbiaonis,25,25,5,0,0,30,0,10,10,25,10,10,10,10,20,15,5,54,0,15,10,10,25,5,5,10,15,10,10,5,15,10,5,20,5,0,20,34,5
Microlunatus sp. Gsoil 973,0,34,20,5,0,34,34,15,15,5,10,5,0,5,25,20,5,25,10,5,0,10,15,0,10,15,20,15,5,10,15,20,10,5,0,15,20,34,10
Streptomyces sp. LRE541,0,30,0,0,20,15,15,0,15,5,25,5,5,5,34,20,5,44,15,10,0,0,15,5,10,10,15,25,5,10,10,15,0,10,5,20,25,15,25
Frankia sp. QA3,0,30,10,5,20,25,0,15,5,10,5,5,25,10,15,5,0,34,10,15,10,10,25,5,5,15,15,15,15,15,20,10,10,10,0,20,20,25,10
Pyxidicoccus sp. SCPEA002,0,10,10,5,20,30,0,0,15,5,20,0,10,5,15,5,30,0,10,15,10,20,25,25,10,10,15,10,5,10,5,5,20,30,0,5,10,25,30
Lysobacter antibioticus,0,15,0,30,0,10,0,10,10,20,25,0,39,15,5,10,10,20,0,5,0,0,5,0,10,15,5,10,10,0,15,5,5,15,89,5,15,5,5
Paraburkholderia tropica,0,20,5,0,0,5,0,10,20,0,0,0,0,5,10,5,10,0,10,15,10,0,10,5,10,15,5,10,10,5,20,15,25,30,5,0,0,5,10
Paraburkholderia phymatum,0,0,0,0,0,0,0,10,10,10,0,0,5,10,0,5,15,0,15,0,0,0,15,0,10,5,5,10,10,10,5,15,15,25,5,0,0,5,5
Mycolicibacterium tokaiense,0,25,30,5,34,5,15,10,10,0,0,5,15,10,15,15,0,20,0,15,0,10,20,5,5,5,15,20,0,15,20,5,5,5,0,15,15,20,5
Mycolicibacterium boenickei,0,15,59,0,20,5,0,25,10,5,0,0,0,0,10,44,0,0,10,15,0,0,25,15,10,5,10,25,5,10,5,0,10,10,0,5,10,20,0
Streptomyces sp. ST13-2-2,0,20,5,0,20,30,34,10,5,15,5,5,15,5,15,10,10,64,0,10,0,5,34,5,5,15,10,10,5,5,15,5,20,20,5,5,25,15,15
Stappia indica,0,5,5,0,20,10,15,0,10,10,20,0,5,10,10,10,15,0,15,20,34,10,25,5,15,15,10,5,10,15,15,25,15,10,0,10,10,20,30
Solimonas sp. K1W22B-7,0,10,10,5,0,15,0,10,10,10,10,0,5,10,10,15,10,10,15,15,10,5,25,10,20,10,5,10,5,49,25,25,30,10,10,5,10,10,25
Rhodothermus marinus,0,10,5,5,0,10,0,15,39,0,25,5,5,10,5,10,25,0,25,15,0,30,20,20,15,25,5,10,0,10,5,5,30,5,0,25,25,10,34
Thermobifida alba,0,25,10,5,0,5,34,0,10,20,10,10,5,10,5,20,5,0,15,10,10,25,0,5,5,5,15,20,10,10,15,15,10,20,0,34,10,44,34
Tistrella mobilis,0,15,10,0,0,5,0,0,10,5,10,0,20,5,10,10,5,10,0,20,10,0,5,0,25,15,15,15,30,25,20,30,49,5,5,15,10,15,44
Rhodococcus fascians,0,15,30,5,0,30,0,15,5,20,20,10,5,10,15,15,5,25,10,5,0,20,15,15,5,20,20,20,10,5,20,10,5,10,5,5,20,20,5
Nocardia wallacei,0,25,20,5,0,10,15,34,10,15,15,5,10,5,30,20,0,20,25,15,10,5,15,5,0,10,15,10,5,15,10,5,20,5,0,10,15,15,20
Nocardia arthritidis,0,20,20,5,20,10,0,15,0,10,10,0,0,10,10,15,5,20,0,15,0,10,25,5,15,20,25,25,15,15,15,15,15,10,5,5,20,30,20
Micromonospora coxensis,0,30,10,0,20,20,15,10,10,25,15,0,0,5,15,20,0,54,25,15,0,5,15,10,5,15,10,15,5,5,15,5,5,20,0,15,25,15,20
Nocardioides jishulii,0,25,10,0,0,25,0,0,10,39,20,79,25,25,15,39,15,10,10,0,0,10,10,10,0,5,5,5,0,15,0,5,5,5,10,15,10,10,15
Streptomyces ferrugineus,0,15,5,0,20,30,0,0,0,10,15,15,5,0,15,20,10,34,39,15,25,0,20,10,10,15,15,10,5,15,30,10,10,0,0,20,10,25,20
Mesorhizobium sp. 8,0,0,5,5,0,15,0,34,30,5,15,5,10,15,5,5,10,0,25,15,25,5,20,5,0,25,15,10,10,15,30,25,10,10,5,10,15,5,10
Mycolicibacterium confluentis,0,25,25,10,0,10,15,15,5,10,10,0,0,5,15,10,10,0,0,15,0,5,10,5,0,15,15,15,10,15,10,10,5,15,0,5,20,30,10
Mycolicibacterium goodii,0,5,79,5,20,10,0,25,10,5,10,10,0,10,10,20,5,20,0,10,0,0,5,0,5,15,10,20,5,5,15,5,5,0,0,0,0,25,5
Streptomyces angustmyceticus,0,30,0,0,0,25,15,10,5,15,5,5,5,10,25,5,5,10,10,10,0,30,20,5,20,15,20,20,5,10,20,10,10,10,0,10,34,44,10
Micromonospora sagamiensis,25,25,10,0,0,10,0,0,5,5,20,15,0,5,15,10,10,69,25,5,0,5,34,5,5,10,15,10,5,10,20,5,5,15,0,0,34,25,10
Streptomyces sp. MBT27,44,30,0,5,20,15,34,0,5,5,5,5,0,5,15,15,15,25,0,25,0,5,25,0,15,20,20,15,5,10,15,0,5,0,0,15,15,34,10
Streptomyces buecherae,0,25,10,5,34,20,15,10,10,10,10,0,5,0,15,10,5,10,0,15,10,0,34,5,15,20,25,15,10,10,39,10,10,25,5,0,20,20,10
Streptomyces durmitorensis,0,20,10,5,20,30,15,0,10,25,15,10,5,10,15,15,10,20,15,10,10,5,25,5,15,10,15,25,5,5,20,15,5,10,0,0,20,25,15
Cellulomonas sp. NS3,25,30,10,10,20,20,15,0,0,10,15,15,0,5,25,30,5,34,25,5,0,20,39,5,5,5,5,15,0,5,5,10,0,5,0,10,30,10,15
Micromonospora narathiwatensis,25,25,0,5,0,30,34,10,10,30,15,5,0,5,25,20,5,64,0,10,0,5,20,0,15,10,15,15,5,0,15,10,5,15,0,5,0,25,10
Aeromicrobium chenweiae,0,15,10,10,0,25,15,0,30,15,10,39,5,10,20,15,5,0,10,15,0,5,39,15,5,5,5,15,5,5,10,10,5,15,5,0,34,39,15
Streptantibioticus cattleyicolor,0,25,10,0,20,15,0,10,10,15,15,0,0,10,15,10,0,25,15,15,25,10,25,5,10,15,10,30,5,5,20,10,15,5,0,10,20,44,5
Mycolicibacterium thermoresistibile,0,10,59,5,0,15,15,10,5,5,5,5,0,15,15,10,0,34,0,20,0,5,10,5,5,10,10,30,10,0,5,0,5,20,0,5,5,30,10
Mycobacterium sp. SMC-8,25,25,54,0,0,15,0,10,5,5,10,0,0,10,15,10,0,25,0,10,0,5,25,0,5,15,10,25,15,5,15,5,5,5,5,15,0,15,5
Micromonospora coriariae,0,44,10,10,34,15,15,0,10,15,0,10,10,5,25,15,0,54,15,5,0,10,25,5,15,15,15,15,15,5,5,5,5,0,0,0,10,20,15
Propioniciclava sp. MC1595,0,25,10,0,0,39,0,25,30,25,5,5,10,5,25,20,10,20,10,10,0,5,30,5,10,15,5,10,5,10,10,5,10,10,0,10,25,25,10
Streptomyces sp. FXJ1.172,0,20,0,0,54,5,34,0,5,0,10,0,5,5,10,10,0,20,0,10,34,5,5,15,10,15,25,25,10,10,20,5,5,20,0,44,5,25,10
Massilia putida,0,5,5,5,34,5,0,25,10,0,10,0,10,49,10,5,15,10,10,5,10,10,10,20,5,15,5,5,5,10,0,5,15,10,89,5,10,5,15
Methylobacterium radiodurans,0,25,25,0,0,10,0,25,10,5,20,5,5,10,20,10,10,10,10,15,0,5,20,5,15,5,10,15,5,10,15,15,20,5,0,15,20,20,25
Alicycliphilus denitrificans,0,15,0,10,34,15,0,25,10,0,20,5,5,5,10,10,64,20,10,10,10,5,0,0,5,20,5,10,5,10,20,10,15,0,15,0,10,10,39
Mycobacterium lacus,0,5,74,5,20,5,0,39,20,10,0,0,10,5,15,5,5,0,15,0,10,10,5,5,0,10,10,34,10,5,5,5,0,15,0,5,15,15,5
Leptothrix cholodnii,0,5,10,5,0,34,0,25,20,0,15,5,5,10,15,15,49,0,25,34,0,10,10,5,5,15,5,5,0,5,10,5,10,15,10,5,5,10,30
Devosia sp. A16,0,10,15,0,0,10,15,34,10,10,5,0,10,5,10,15,25,0,0,15,25,5,20,10,15,15,10,15,15,15,15,15,10,15,10,10,5,15,15
Kitasatospora setae,0,30,10,0,34,15,0,10,10,10,0,0,0,10,20,20,5,34,10,15,0,20,10,5,15,25,15,15,15,10,5,15,15,15,0,0,20,30,15
Streptomyces sp. QHH-9511,0,20,10,5,0,15,34,25,10,15,20,5,15,10,20,10,15,10,25,10,10,5,25,10,15,10,10,20,0,5,10,15,15,5,0,5,10,25,15
Streptomyces sp. GQFP,25,34,10,5,0,20,34,10,10,15,0,0,5,5,15,10,0,34,0,0,0,5,25,10,20,15,20,25,10,15,5,5,15,15,0,10,10,20,10
Mitsuaria sp. 7,0,5,10,5,0,25,0,25,113,0,5,5,15,20,10,10,34,0,10,15,0,0,15,15,5,15,5,5,0,0,10,15,10,10,10,0,10,10,15
Aeromicrobium sp. Leaf245,0,20,5,0,0,10,15,10,5,34,10,30,10,5,20,25,10,25,10,0,0,10,5,20,5,10,15,15,5,5,5,10,5,10,20,25,49,15,10
Pigmentiphaga sp. H8,0,5,10,5,0,5,15,15,39,0,5,0,5,5,10,15,54,20,0,25,0,5,25,0,5,10,5,5,5,20,10,25,15,15,5,15,0,15,39
Luteibacter flocculans,0,10,10,5,20,5,0,0,20,0,5,0,0,192,0,10,0,0,0,10,0,5,10,5,10,10,5,5,5,15,10,15,10,5,20,5,0,5,5
Agromyces aureus,0,20,20,5,34,30,0,10,20,10,30,5,15,5,89,10,10,0,25,5,0,5,10,5,5,10,5,5,0,5,5,0,10,10,0,15,10,20,0
Agromyces sp. LHK192,25,10,15,5,0,30,0,15,15,5,5,5,10,10,54,15,25,34,15,10,25,0,25,5,10,15,5,0,5,5,5,15,5,5,0,0,10,15,15
Micromonospora echinofusca,0,25,0,5,69,30,15,0,10,10,15,15,0,10,34,20,5,10,0,5,0,5,25,0,10,25,15,10,5,10,10,5,10,0,5,5,25,25,10
Streptomyces lincolnensis,0,54,10,5,0,20,0,10,30,0,10,5,0,5,20,15,5,10,15,15,10,0,25,0,20,10,15,15,5,15,20,5,15,5,0,10,15,39,15
Dyella thiooxydans,0,20,10,0,0,0,0,10,0,5,20,5,5,20,10,10,0,25,0,15,10,5,10,5,15,10,5,5,5,5,10,15,30,10,30,0,10,10,15
Arenimonas daejeonensis,0,0,0,20,0,5,0,10,15,30,30,5,64,10,15,5,10,10,15,15,0,0,0,5,10,25,5,5,0,5,5,0,10,5,39,0,5,5,5
Azospira restricta,0,15,10,5,0,15,15,39,39,0,10,5,0,5,10,10,89,20,0,20,0,10,5,5,5,15,0,5,0,15,5,10,15,0,10,10,0,15,15
Lactococcus paracarnosus,0,5,0,30,20,10,15,0,5,30,0,15,20,5,10,5,10,0,0,15,0,34,10,15,10,15,10,15,15,5,10,15,5,20,20,34,25,15,0
